layer,workspace,store,title,geometry,crs,features,fields,types
district_Pakpattan,infra_portal,district_Pakpattan,district_Pakpattan,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Panjgur,infra_portal,district_Panjgur,district_Panjgur,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Peshawar,infra_portal,district_Peshawar,district_Peshawar,Polygon,EPSG:4326,5,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Pishin,infra_portal,district_Pishin,district_Pishin,Polygon,EPSG:4326,5,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Poonch,infra_portal,district_Poonch,district_Poonch,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Qambar Shahdadkot,infra_portal,district_Qambar Shahdadkot,district_Qambar Shahdadkot,Polygon,EPSG:4326,7,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Quetta,infra_portal,district_Quetta,district_Quetta,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Rahim Yar Khan,infra_portal,district_Rahim Yar Khan,district_Rahim Yar Khan,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Rajanpur,infra_portal,district_Rajanpur,district_Rajanpur,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Rawalpindi,infra_portal,district_Rawalpindi,district_Rawalpindi,Polygon,EPSG:4326,7,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Roundu,infra_portal,district_Roundu,district_Roundu,Polygon,EPSG:4326,1,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Sahiwal,infra_portal,district_Sahiwal,district_Sahiwal,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Sanghar,infra_portal,district_Sanghar,district_Sanghar,Polygon,EPSG:4326,6,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Sargodha,infra_portal,district_Sargodha,district_Sargodha,Polygon,EPSG:4326,7,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Shaheed Benazir Abad,infra_portal,district_Shaheed Benazir Abad,district_Shaheed Benazir Abad,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Shangla,infra_portal,district_Shangla,district_Shangla,Polygon,EPSG:4326,6,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Sheikhupura,infra_portal,district_Sheikhupura,district_Sheikhupura,Polygon,EPSG:4326,5,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Sherani,infra_portal,district_Sherani,district_Sherani,Polygon,EPSG:4326,1,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Shigar,infra_portal,district_Shigar,district_Shigar,Polygon,EPSG:4326,1,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Shikarpur,infra_portal,district_Shikarpur,district_Shikarpur,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Sialkot,infra_portal,district_Sialkot,district_Sialkot,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Sibi,infra_portal,district_Sibi,district_Sibi,Polygon,EPSG:4326,1,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Skardu,infra_portal,district_Skardu,district_Skardu,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Sohbatpur,infra_portal,district_Sohbatpur,district_Sohbatpur,Polygon,EPSG:4326,1,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_South Karachi,infra_portal,district_South Karachi,district_South Karachi,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_South Waziristan,infra_portal,district_South Waziristan,district_South Waziristan,Polygon,EPSG:4326,8,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Sudhnoti,infra_portal,district_Sudhnoti,district_Sudhnoti,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Sujawal,infra_portal,district_Sujawal,district_Sujawal,Polygon,EPSG:4326,5,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Sukkur,infra_portal,district_Sukkur,district_Sukkur,Polygon,EPSG:4326,5,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Surab,infra_portal,district_Surab,district_Surab,Polygon,EPSG:4326,1,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Swabi,infra_portal,district_Swabi,district_Swabi,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Swat,infra_portal,district_Swat,district_Swat,Polygon,EPSG:4326,9,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Tando Allahyar,infra_portal,district_Tando Allahyar,district_Tando Allahyar,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Tando Muhammad Khan,infra_portal,district_Tando Muhammad Khan,district_Tando Muhammad Khan,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Tangir,infra_portal,district_Tangir,district_Tangir,Polygon,EPSG:4326,1,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Tank,infra_portal,district_Tank,district_Tank,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Tharparkar,infra_portal,district_Tharparkar,district_Tharparkar,Polygon,EPSG:4326,7,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Thatta,infra_portal,district_Thatta,district_Thatta,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Toba Tek Singh,infra_portal,district_Toba Tek Singh,district_Toba Tek Singh,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Tor Ghar,infra_portal,district_Tor Ghar,district_Tor Ghar,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Umer Kot,infra_portal,district_Umer Kot,district_Umer Kot,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Upper Dir,infra_portal,district_Upper Dir,district_Upper Dir,Polygon,EPSG:4326,7,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Upper Kohistan,infra_portal,district_Upper Kohistan,district_Upper Kohistan,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Usta Muhammad,infra_portal,district_Usta Muhammad,district_Usta Muhammad,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Vehari,infra_portal,district_Vehari,district_Vehari,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Washuk,infra_portal,district_Washuk,district_Washuk,Polygon,EPSG:4326,5,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_West Karachi,infra_portal,district_West Karachi,district_West Karachi,Polygon,EPSG:4326,1,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Zhob,infra_portal,district_Zhob,district_Zhob,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Ziarat,infra_portal,district_Ziarat,district_Ziarat,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
